Id;Lesson;Vocabulary;EnglishDef;Learned;Bookmarked
37;High;Autonomous;having the freedom to govern itself or control its own affairs.;0;0
38;Low;Aver;say confidently or declare; as used in law, as a fact;0;0
39;High;Banal;lacking in originality;0;0
40;Low;Beneficent;doing good; resulting in good.;0;0
41;High;Bolster;support or strengthen.;0;0
42;Medium;Bombastic;high-sounding but with little meaning; using inflated language;0;0
43;High;Boorish;rude; rough and bad-mannered;;0;0
44;High;Burgeoning;begin to grow or increase rapidly; growing quickly;0;0
45;High;Burnish;make shinny by rubbing; polish;0;0
46;Medium;Buttress;a source of defence or support.;0;0
47;High;Cacophonous;involving or producing a harsh, discordant mixture of sounds.;0;0
48;Low;Capricious;unpredictable; unaccountable changes of mood or behaviour.;0;0
49;Low;Castigation;punishment; severe criticism;0;0
50;Medium;Catalyst;person or thing that causes action;0;0
51;Low;Caustic;able to burn; sarcastically biting;0;0
52;Medium;Cessation;stoppage; brought to an end.;0;0
53;Low;Cession;yielding to another; surrendering;0;0
54;Medium;Chicanery;Use of clever underhanded actions to achieve an end;0;0
55;Medium;Cogent;clear, logical, and convincing.;0;0
56;High;Commensurate;corresponding in size or degree; in proportion.;0;0
57;High;Compendium;detailed information about a particular subject;0;0
58;Low;Complaisant;trying to please; overly polite;0;0
59;High;Compliant;obey rules, especially to an excessive degree;0;0
60;Medium;Conciliatory;to make (someone) more friendly or less angry;0;0
61;High;Condone;accept (behaviour that is considered morally wrong or offensive). forgive; excuse;0;0
62;Low;Confound;cause surprise or confusion in (someone);0;0
63;Medium;Connoisseur;an expert judge in matters of taste.;0;0
64;Medium;Contention;heated disagreement.;0;0
65;High;Contentious;causing or likely to cause an argument; controversial.;0;0
66;Low;Contrite;feeling or expressing pain or sorrow for sins or offenses;0;0
67;High;Converge;approach; tend to meet;0;0
68;High;Convoluted;extremely complex and difficult to follow.;0;0
69;Medium;Craven;lack of courage, cowardly;0;0
70;Medium;Daunt;to make (someone) afraid or less confident;0;0
71;Low;Decorum;propriety; orderliness and good taste in manners;0;0
72;High;Default;failure to fulfil a bond;0;0
73;Medium;Deference;polite submission and respect.;0;0
74;Medium;Delineate;to draw; sketch;0;0
75;High;Denigrate;criticize unfairly;0;0
76;Low;Deride;make fun of or laughter;0;0
77;High;Derivative;unoriginal; obtained from another source;0;0
78;High;Desiccate;remove the moisture from (something), typically in order to preserve it.;0;0
79;Low;Desultory;aimless; lacking a plan, purpose, or enthusiasm;0;0
80;Medium;Deterrent;something that discourages;0;0
81;Medium;Diatribe;a forceful and bitter verbal attack against someone or something.;0;0
82;Medium;Dichotomy;branching into two parts;0;0
83;Low;Diffidence;lack of self-confidence.;0;0
84;High;Diffuse;wordy; rambling; spread out;0;0
85;Low;Digression;wandering away from the subject;0;0
86;Medium;Disabuse;correct a false impression;0;0
87;Low;Discerning;having or showing good judgement.;0;0
88;Low;Discordant;disagreeing and conflicting;0;0
89;Medium;Discredit;destroy confidence in; harm the good reputation of.;0;0
90;High;Discrepancy;lack of consistency or similarity between two or more facts.;0;0
91;High;Discrete;individually separate and distinct.;0;0
92;Medium;Disingenuous;not candid or sincere, typically by pretending that one knows less about something than one really does.;0;0
93;Low;Disinterested;not influenced by considerations of personal advantage;0;0
94;High;Disjointed;lacking coherence; separated at the joints;0;0
95;High;Dismiss;eliminate from consideration; reject;0;0
96;Medium;Disparage;represent as being of little worth.;0;0
97;High;Disparate;essentially different in kind; not able to be compared.;0;0
98;Low;Dissemble;imitate one's true feelings or beliefs.;0;0
99;High;Disseminate;spread (something, especially information) widely.;0;0
100;Medium;Dissolution;the action of formally ending;0;0
101;High;Dissonance;lack of harmony among musical notes.;0;0
102;Low;Distend;cause to swell by pressure from inside.;0;0
103;High;Distill;purify (a liquid) by heating it so that it vaporizes;0;0
104;High;Diverge;separate from another route and go in a different direction.;0;0
105;Low;Divest;to end the occupancy or possession;0;0
106;High;Document;a piece of written, printed, or electronic matter that provides information or evidence;0;0
107;Medium;Dogmatic;marked by the forceful expression;0;0
108;High;Dormant;in or as if in a deep sleep.;0;0
109;Low;Dupe;someone easily fooled;0;0
110;High;Ebullient;showing excitement; overflowing with enthusiasm;0;0
111;High;Eclectic;taste from a broad and diverse range of sources;0;0
112;High;Efficacy;power to produce desired effect;0;0
113;Low;Effrontery;rude behaviour.;0;0
114;Low;Elegy;poem or song expressing sarrow;0;0
115;High;Elicit;draw out by discussion;0;0
116;Low;Embellish;make (something) more attractive;0;0
117;High;Empirical;verifiable by observation or experience rather than theory or pure logic.;0;0
118;High;Emulate;to be the same in meaning or effect;0;0
119;Medium;Endemic;belonging to a particular place by birth or origin;0;0
120;Low;Enervate;make (someone) feel weaken;0;0
121;High;Engender;to be the cause of (a situation, action, or state of mind);0;0
122;Medium;Enhance;further improve the quality, value;0;0
123;High;Ephemeral;lasting for a very short time.;0;0
124;Medium;Equanimity;calmness and composure, especially in a difficult situation.;0;0
125;Medium;Equivocate;to avoid giving a definite answer or misleading;0;0
126;Medium;Erudite;showing great knowledge;0;0
127;High;Esoteric;hard to understand; known only to the chosen few;0;0
128;Low;Eulogy;expression of praise (or) often on the occasion of someone's death;0;0
129;Medium;Euphemism;mild expression in place of an unpleasant one;0;0
130;High;Exacerbate;make (a problem, bad situation, or negative feeling) worse.;0;0
131;Low;Exculpate;show or declare that (someone) is not guilty of wrongdoing.;0;0
132;Low;Exigency;urgent situation; an urgent need or demand.;0;0
133;Medium;Extrapolation;projection; conjecture;0;0
134;Low;Facetious;treating serious issues with inappropriate humour;0;0
135;High;Facilitate;make less difficult; make (an action or process) easy or easier.;0;0
136;Low;Fallacious;based on a mistaken belief.;0;0
137;Medium;Fatuous;silly and pointless.;0;0
138;Medium;Fawning;do favors in order to win approval especially from a superior;0;0
139;Low;Felicitous;well chosen or suited to the circumstances.;0;0
140;High;Fervor;intense and passionate feeling.;0;0
141;High;Flag;mark (an item) for attention or treatment in a specified way.;0;0
142;High;Fledgling;a person or organization that is immature, inexperienced, or underdeveloped.;0;0
143;High;Flout;openly disregard;0;0
144;Low;Foment;instigate or stir up (an undesirable or violent sentiment or course of action).;0;0
145;Medium;Forestall;prevent by taking action in advance;0;0
146;Low;Frugality;careful management of material resources;0;0
147;Medium;Futile;incapable of producing useful result;0;0
148;Low;Gainsay;deny or contradict (a fact or statement).;0;0
149;Medium;Garrulous;excessively talkative, especially on trivial matters.;0;0
150;Medium;Goad;strong action or reaction on someone;0;0
151;Low;Grandiloquent;pompous; bombastic; using high-sounding language;0;0
152;Medium;Gregarious;(of a person) fond of company; sociable.;0;0
153;Medium;Guileless;innocent and without deception.;0;0
154;High;Gullible;easily persuaded to believe something;0;0
155;Low;Harangue;a lengthy and aggressive speech.;0;0
156;High;Homogeneous;of the same kind;0;0
157;High;Hyperbole;exaggerated statements or claims not meant to be taken literally;0;0
158;High;Iconoclastic;criticizing or attacking cherished beliefs or institutions.;0;0
159;Low;Idolatry;the worship of idols.;0;0
160;Medium;Immutable;unable to be changed.;0;0
161;High;Impair;weaken or damage (something, especially a faculty or function).;0;0
162;High;Impassive;not feeling or showing emotion.;0;0
163;Medium;Impede;delay or prevent (someone or something) by obstructing them;0;0
164;Medium;Impermeable;not allowing fluid to pass through.;0;0
165;Low;Imperturbable;unable to be upset or excited; calm.;0;0
166;Low;Implacable;incapable of being pacified; unable to be allay or placated.;0;0
167;High;Implicit;suggested though not directly expressed.;0;0
168;Medium;Implode;to fall down or in as a result of physical pressure;0;0
169;High;Inadvertently;without intention; accidentally.;0;0
170;Medium;Inchoate;just begun and so not fully formed or developed;0;0
171;High;Incongruity;lack of harmony; absurdity;0;0
172;High;Incorporate;introduce something into a larger whole; combine;0;0
173;High;Indeterminate;not exactly known, established, or defined;0;0
174;Low;Indigence;a state of extreme poverty;0;0
175;Low;Indolent;wanting to avoid activity; lazy.;0;0
176;Medium;Inert;lacking power to move;0;0
177;Low;Ingenuous;(of a person or action) innocent and unsuspecting.;0;0
178;High;Inherent;firmly established by nature or habit;0;0
179;High;Innocuous;not harmful or offensive.;0;0
180;Low;Insensible;without one's mental faculties, typically as a result of injury or intoxication; unconscious.;0;0
181;Low;Insinuate;suggest (or) hint (something bad) in an indirect and unpleasant way.;0;0
182;Low;Insipid;lacking flavour; weak or tasteless.;0;0
183;Medium;Insularity;ignorance of or lack of interest in cultures, ideas, or peoples outside one's own experience.;0;0
184;High;Intractable;hard to control or deal with.;0;0
185;Low;Intransigence;refusal of any compromise; stubbornness;0;0
186;Medium;Inundate;covered by full of water; flood;0;0
187;Low;Inured;something unpleasant; hardened;0;0
188;Medium;Irascible;easily irritated or annoyed;0;0
189;Low;Irresolute;showing or feeling hesitancy; uncertain.;0;0
190;Medium;Itinerary;a planned route or journey.;0;0
191;Medium;Laconic;brief and to the point;0;0
192;Low;Lassitude;a complete depletion of energy or strength;0;0
193;High;Latent;not being in a state of use, activity, or employment;0;0
194;Low;Laud;praise (a person or their achievements) highly;0;0
195;High;Lethargic;slow to move or act;0;0
196;Low;Levity;lack of seriousness or steadiness; frivolity;0;0
197;High;Log;a regular or systematic record of incidents or observations.;0;0
198;Medium;Loquacious;tending to talk a great deal; talkative.;0;0
199;High;Lucid;expressed clearly; easy to understand.;0;0
200;Medium;Luminous;giving off light; bright or shining.;0;0
201;Low;Magnanimity;the fact or condition of being magnanimous; generosity.;0;0
202;Low;Malingerer;one who feigns illness to escape duty;0;0
203;Medium;Malleable;capable of being easily molded or modeled;0;0
204;High;Maverick;independent-minded person.;0;0
205;Low;Mendacious;not telling the truth; lying.;0;0
206;Medium;Metamorphosis;change of form;0;0
207;High;Meticulous;showing great attention to detail; very careful and precise.;0;0
208;Low;Misanthrope;a person who dislikes humankind and avoids human society.;0;0
209;High;Mitigate;make (something bad) less severe, serious, or painful.;0;0
210;Medium;Mollify;reduce the severity of (something).;0;0
211;Medium;Morose;causing or marked by an atmosphere lacking in cheer;0;0
212;High;Mundane;lacking interest or excitement; dull.;0;0
213;High;Negate;deny the existence of.;0;0
214;High;Neophyte;a person who is new to a subject or activity.;0;0
215;Low;Obdurate;having or showing a lack of sympathy or tender feelings;0;0
216;Low;Obsequious;obedient or attentive to an excessive or servile degree.;0;0
217;Low;Obviate;make unnecessary; get rid of;0;0
218;Low;Officious;enthusiastic in offering help or advice;0;0
219;High;Onerous;involving a great deal of effort, trouble, or difficulty.;0;0
220;Medium;Opprobrium;harsh criticism or censure.;0;0
221;High;Oscillate;move or swing back and forth in a regular rhythm.;0;0
222;Low;Ostentatious;showy; pretentious; trying to attract attention;0;0
223;High;Paragon;model of perfection;0;0
224;High;Partisan;a strong supporter of a party, cause, or person.;0;0
225;Medium;Pathological;pertaining to disease;0;0
226;Medium;Paucity;insufficient quantities or amounts.;0;0
227;Low;Pedantic;showing off learning; bookish;0;0
228;High;Penchant;a strong or habitual liking for something or tendency to do something.;0;0
229;Low;Penury;the state of being very poor; extreme poverty.;0;0
230;High;Perennial;existing for a long;0;0
231;Low;Perfidious;not true in one's allegiance to someone or something;0;0
232;Medium;Perfunctory;carried out without real interest, feeling, or effort.;0;0
233;Medium;Permeable;allowing liquids or gases to pass through it.;0;0
234;High;Pervasive;spreading widely throughout an area or a group of people.;0;0
235;Low;Phlegmatic;calm; not easily disturbed;0;0
236;Low;Piety;belief and trust in and loyalty to God;0;0
237;Medium;Placate;make (someone) less angry or hostile.;0;0
238;High;Plasticity;the quality of being easily shaped or moulded.;0;0
239;Medium;Platitude;an idea or expression that has been used by many people;0;0
240;High;Plethora;a large or excessive amount of something.;0;0
241;High;Porous;capable of being passed into or through;0;0
242;High;Pragmatic;practical; concerned with the practical worth or impact of something;0;0
243;Low;Precarious;dependent on chance; uncertain.;0;0
244;Low;Precipitate;cause to happen suddenly, unexpectedly, or prematurely.;0;0
245;High;Precursor;a person or thing that comes before another of the same kind; a forerunner.;0;0
246;Low;Presumptuous;showing a lack of proper social reserve or modesty;0;0
247;Low;Prevaricate;to make a statement one knows to be untrue; lie;0;0
248;High;Pristine;unused or unspoiled state;0;0
249;Low;Probity;the quality of having strong moral principles;0;0
250;High;Problematic;presenting a problem.;0;0
251;Medium;Prodigal;wasteful; reckless with money;0;0
252;High;Profound;very great or intense.;0;0
253;Medium;Prohibitive;tending to prevent the purchase or use of something; inclined to prevent or forbid;0;0
254;High;Proliferate;increase rapidly in number; multiply.;0;0
255;Low;Propensity;an inclination or natural tendency to behave in a particular way.;0;0
256;Low;Propitiate;win or regain the favour of (a god, spirit, or person) by doing something that pleases them.;0;0
257;Low;Propriety;socially acceptable behavior;0;0
258;Medium;Proscribe;banish; not to do or use;0;0
259;High;Qualified;competent or knowledgeable to do something; capable.;0;0
260;Low;Quibble;minor objection or complaint;0;0
261;Medium;Quiescent;in a state or period of inactivity or dormancy;0;0
262;Low;Rarefied;lower pressure than usual;0;0
263;High;Recalcitrant;given to resisting authority or another's control;0;0
264;Low;Recant;to solemnly or formally reject or go back on;0;0
265;Low;Recondite;abstruse; profound; secret;0;0
266;Medium;Refractory;stubborn, unmanageable;0;0
267;Medium;Refute;prove (a statement or theory) to be wrong or false; disprove.;0;0
268;High;Relegate;banish to an inferior position; delegate;0;0
269;Low;Reproach;express disapproval or disappointment;0;0
270;Low;Reprobate;person hardened in sin;0;0
271;Medium;Repudiate;refuse to accept; reject.;0;0
272;Medium;Rescind;cancel; to put an end to;0;0
273;Medium;Resolution;a firm decision to do or not to do something.;0;0
274;Medium;Resolve;settle or find a solution to (a problem or contentious matter).;0;0
275;High;Reticent;not revealing one's thoughts or feelings readily.;0;0
276;High;Reverent;feeling or showing deep and solemn respect.;0;0
277;High;Sage;person celebrated for wisdom (especially in ancient history or legend) a profoundly wise man.;0;0
278;Low;Salubrious;health-giving; healthy.;0;0
279;Medium;Sanction;official permission or approval for an action.;0;0
280;Low;Satiate;satisfy fully;0;0
281;Medium;Saturate;soak thoroughly;0;0
282;High;Savor;have a distinctive flavor, smell, or quality;0;0
283;High;Secrete;to put into a hiding place;0;0
284;High;Shard;a piece of broken ceramic, metal, glass, or rock, typically having sharp edges.;0;0
285;Medium;Skeptic;doubter; person who suspends judgement until having examined the evidence supporting a point of view;0;0
286;Low;Solicitous;characterized by or showing interest or concern.;0;0
287;Medium;Soporific;sleep-causing; marked by sleepiness;0;0
288;Low;Specious;seemingly reasonable but incorrect;0;0
289;High;Spectrum;colored band produced when a beam of light passes through a prism;0;0
290;Medium;Sporadic;occurring irregualrly;0;0
291;High;Stigma;a mark of guilt or disgrace;0;0
292;Medium;Stint;limitation of supply or effort.;0;0
293;Medium;Stipulate;demand or specify (a requirement), typically as part of an agreement.;0;0
294;Low;Stolid;calm, dependable, and showing little emotion or animation.;0;0
295;High;Subpoena;a written notice ordering a person to appear in court;0;0
296;Medium;Subside;become less intense, violent, or severe.;0;0
297;High;Substantiate;provide evidence to support or prove the truth of.;0;0
298;Low;Supersede;to take the place of;0;0
299;Low;Supposition;a belief held without proof or certain knowledge; an assumption or hypothesis.;0;0
300;Medium;Tacit;understood or implied without being stated.;0;0
301;Medium;Tangential;only slightly connected; hardly touching a matter;0;0
302;High;Tenuous;very weak or slight.;0;0
303;Medium;Tirade;a long, angry speech of criticism or accusation.;0;0
304;Low;Torpor;a state of physical or mental inactivity; lethargy.;0;0
305;Medium;Tortuous;full of twists and turns.;0;0
306;Medium;Tractable;easy to control or influence.;0;0
307;Low;Transgression;violation of law sin;0;0
308;Medium;Truculence;an inclination to fight or quarrel;0;0
309;High;Vacillate;to show uncertainty about the right course of action;0;0
310;Low;Venerate;regard with great respect;0;0
311;Low;Veracious;speaking or representing the truth.;0;0
312;High;Verbose;using or expressed in more words than are needed.;0;0
313;Medium;Viable;practical or workable; capable of maintaining life;0;0
314;High;Viscous;having a thick, sticky consistency between solid and liquid; having a high viscosity.;0;0
315;Medium;Vituperative;marked by harsh insulting language;0;0
316;Medium;Volatile;liable to change rapidly and unpredictably, especially for the worse.;0;0
317;Medium;Warrant;justify or necessitate (a course of action).;0;0
318;High;Wary;feeling or showing caution about possible dangers or problems.;0;0
319;Medium;Welter;a large number of items in no order; a confused mass.;0;0
320;Low;Whimsical;playfully quaint or fanciful, especially in an appealing and amusing way.;0;0
321;Medium;Zealot;person who shows excessive zeal;0;0
